!! n20w40.005    33.45 331


CUST NO.   XCOORD.   YCOORD.    DEMAND   READY TIME   DUE DATE   SERVICE TIME


    1      17.00       7.00       0.00       0.00     334.00       0.00
    2      48.00       3.00       0.00     154.00     183.00       0.00
    3      27.00      39.00       0.00      69.00     110.00       0.00
    4      45.00       3.00       0.00     205.00     275.00       0.00
    5       9.00      37.00       0.00     272.00     303.00       0.00
    6      46.00      33.00       0.00     107.00     150.00       0.00
    7       2.00      25.00       0.00      16.00      29.00       0.00
    8      14.00      33.00       0.00       2.00      55.00       0.00
    9       1.00      45.00       0.00      19.00      81.00       0.00
   10      38.00      36.00       0.00      86.00     104.00       0.00
   11      25.00      26.00       0.00     305.00     311.00       0.00
   12      18.00      10.00       0.00     189.00     247.00       0.00
   13      45.00      31.00       0.00      95.00     145.00       0.00
   14      42.00      35.00       0.00      88.00     106.00       0.00
   15      39.00       5.00       0.00     168.00     187.00       0.00
   16      17.00      10.00       0.00       0.00      15.00       0.00
   17       8.00      41.00       0.00      30.00      65.00       0.00
   18      29.00      39.00       0.00     102.00     126.00       0.00
   19      43.00      32.00       0.00      97.00     137.00       0.00
   20      11.00      17.00       0.00       0.00      29.00       0.00
   21      38.00      23.00       0.00     250.00     265.00       0.00
  999       0.00       0.00       0.00       0.00       0.00       0.00
